"Cocunut";"Mortgage_YN";"AGE_AT_ORIGINATION";"AGE";"YEARS_WITH_BANK";"MARTIAL_STATUS";"EDUCATION";"EMPLOYMENT";"GENDER";"CUST_INCOME";"CURRENT_ADDRESS_DATE";"CURRENT_JOB_DATE";"CURRENT_WITH_BANK_DATE";"CURRENT_BALANCE_EUR"
43167;"N";NA;50;9;"M";"HGH";"PVE";"M";216,0820769;1967-09-08;2005-12-20;2007-08-16;1599,777154
43170;"N";NA;63;12;"W";"HGH";"RET";"F";259,3010769;1996-05-15;9999-10-01;2004-07-10;1011,336692
43173;"N";NA;72;12;"W";"HGH";"RET";"F";202,8617692;2005-01-26;9999-10-01;2004-12-07;2277,104538
43175;"N";NA;53;1;"M";"HGH";"PVE";"F";361,5384615;1997-01-01;1985-01-01;2015-10-30;189,7086923
43176;"N";NA;62;1;"M";"HGH";"RET";"F";191,8526923;1983-01-01;9999-10-01;2015-10-29;76,237
43181;"N";NA;49;12;"M";"HGH";"PVE";"F";290,8153846;1987-12-15;2009-11-12;2005-04-20;6411,286615
43187;"N";NA;40;12;"D";"HGH";"PVE";"M";1287,976923;2014-01-01;2007-02-27;2005-02-02;4958,367
43188;"N";NA;69;5;"M";"HGH";"RET";"F";168,3850769;1980-08-05;9999-10-01;2011-08-16;3608,551308
43192;"N";NA;65;8;"M";"HGH";"RET";"M";369,2307692;1996-10-15;9999-10-01;2009-01-23;97,50446154
43193;"N";NA;31;1;"M";"BCR";"STE";"M";584,6153846;2015-01-01;2010-12-12;2015-11-02;181,2165385
43194;"N";NA;25;3;"S";"HGH";"RET";"M";281,2657692;1992-07-02;9999-10-01;2013-12-02;1013,927462
43197;"N";NA;38;9;"M";"HGH";"PVE";"F";389,8923077;2005-09-01;2008-04-01;2008-03-24;1667,588538
43201;"N";NA;75;11;"M";"HGH";"RET";"M";211,3363846;1974-05-01;9999-10-01;2005-11-29;56,47853846
43203;"N";NA;29;1;"M";"HGH";"PVE";"M";448,5328462;1988-07-05;2015-09-25;2015-10-21;360,5209231
43204;"N";NA;48;1;"M";"BCR";"STE";"F";455,5263846;2011-06-01;2003-07-01;2015-10-24;1476,805
43206;"N";NA;59;1;"W";"HGH";"RET";"F";212,3076923;1981-01-01;2001-01-05;2015-10-19;152,7854615
43211;"N";NA;55;13;"M";"HGH";"STE";"F";600,4906154;1986-06-23;1984-09-01;2004-06-19;6807,583692
43215;"N";NA;67;2;"D";"SEC";"RET";"M";837,6659231;2000-12-31;9999-10-01;2014-11-20;2,231846154
43222;"N";NA;23;1;"S";"HGH";"STE";"M";453,8461538;1995-01-01;2014-07-25;2015-10-29;7669,000538
43225;"N";NA;23;2;"M";"HGH";"PVE";"F";171,5076923;2014-10-04;2015-05-01;2015-06-20;1105,957538
43230;"N";NA;64;2;"M";"HGH";"OTH";"M";278,7808462;1953-01-09;9999-10-01;2014-11-17;1560,393
43231;"N";NA;33;11;"M";"BCR";"STE";"M";331,4696923;2013-05-01;2006-02-01;2006-05-18;908,5633846
43232;"N";NA;50;11;"M";"BCR";"STE";"F";362,9846154;1988-05-28;2003-09-01;2006-02-17;7281,916769
